epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.99674,1.80584,4.61229,1.30951,0,0,0,0,1.54089,4.11733,1.26604,0,0,0
2,4.30698,1.82552,4.64252,1.3733,0,0,0,0,1.54118,4.11785,1.26586,1.6615e-05,1.6615e-05,1.6615e-05
3,5.54292,1.66788,4.46874,1.28857,0,0,0,0,1.54319,4.11786,1.26524,3.312e-05,3.312e-05,3.312e-05
4,6.6892,1.90911,4.65729,1.29708,0,0,0,0,1.53981,4.11456,1.26598,4.95149e-05,4.95149e-05,4.95149e-05
5,7.81535,1.67727,4.49125,1.2799,0,0,0,0,1.54058,4.11351,1.26334,6.57998e-05,6.57998e-05,6.57998e-05
6,8.93922,1.7476,4.59906,1.29378,0,0,0,0,1.53506,4.11298,1.26329,8.19747e-05,8.19747e-05,8.19747e-05
7,10.0272,1.74458,4.63313,1.34648,0,0,0,0,1.53688,4.11483,1.26414,9.80396e-05,9.80396e-05,9.80396e-05
8,11.2468,1.7006,4.63268,1.3141,0,0,0,0,1.27253,4.05685,1.12613,0.000113994,0.000113994,0.000113994
9,12.603,1.49918,4.30698,1.15949,0.0006,0.1,0.00039,4e-05,1.15505,4.01412,1.0643,0.000129839,0.000129839,0.000129839
10,13.9505,1.43925,4.02785,1.04507,0.00691,0.6,0.00641,0.00391,1.09516,3.9093,0.98717,0.000145574,0.000145574,0.000145574
11,15.3089,1.40152,3.88918,1.00049,0.00867,0.8,0.0104,0.00647,1.01855,3.83137,0.92746,0.000161199,0.000161199,0.000161199
12,16.6872,1.24581,3.56193,0.96741,0.00996,1,0.01417,0.0093,0.99535,3.75974,0.89306,0.000176714,0.000176714,0.000176714
13,18.0212,1.27643,3.23211,0.9329,0.00996,1,0.01458,0.00937,0.98666,3.68318,0.86593,0.000192118,0.000192118,0.000192118
14,19.3871,1.19453,2.72888,0.88124,0.00994,1,0.01451,0.00963,0.96981,3.61141,0.84717,0.000207413,0.000207413,0.000207413
15,20.7193,1.20772,2.31485,0.88761,0.01007,1,0.01448,0.0098,0.98313,3.54455,0.84856,0.000222598,0.000222598,0.000222598
16,22.0748,1.26423,1.97023,0.88453,0.01009,1,0.0142,0.00943,1.02997,3.44894,0.86003,0.000237673,0.000237673,0.000237673
17,23.4323,1.22876,1.89543,0.90651,0.0101,1,0.01413,0.00881,1.13343,3.39668,0.88915,0.000252637,0.000252637,0.000252637
18,24.7878,1.16121,1.87042,0.90495,0.01016,1,0.01382,0.00858,1.21926,3.37098,0.91979,0.000267492,0.000267492,0.000267492
19,26.126,1.131,1.81322,0.89473,0.01023,1,0.01507,0.00917,1.24217,3.35032,0.91369,0.000282236,0.000282236,0.000282236
20,27.4475,1.13672,1.4661,0.8891,0.01014,1,0.01643,0.0112,1.09795,3.29152,0.86916,0.000296871,0.000296871,0.000296871
21,28.8205,1.10165,1.59516,0.89931,0.01007,1,0.02641,0.01157,1.06245,3.30424,0.86842,0.000311396,0.000311396,0.000311396
22,30.1832,1.17203,1.69466,0.90211,0.01001,1,0.01909,0.01123,1.08311,3.29271,0.88093,0.00032581,0.00032581,0.00032581
23,31.5328,1.1308,1.52874,0.92839,0.01012,1,0.01674,0.01031,1.08597,3.27271,0.87953,0.000340115,0.000340115,0.000340115
24,32.8802,1.14101,1.47527,0.92483,0.01006,1,0.01359,0.00894,1.08997,3.24824,0.89225,0.000354309,0.000354309,0.000354309
25,34.2095,1.06562,1.49059,0.91614,0.01007,1,0.01452,0.00924,1.04519,3.25719,0.89682,0.000368394,0.000368394,0.000368394
26,35.5316,1.06935,1.26975,0.89365,0.01013,1,0.01364,0.00827,0.99826,3.31204,0.92132,0.000382368,0.000382368,0.000382368
27,36.8686,1.11404,1.39618,0.9158,0.01028,1,0.01408,0.0074,1.06156,3.40135,0.96924,0.000396233,0.000396233,0.000396233
28,38.2203,1.07809,1.18387,0.90041,0.0098,0.9,0.01244,0.00644,1.05707,3.44342,0.98108,0.000409987,0.000409987,0.000409987
29,39.5534,1.13054,1.19967,0.92923,0.0098,0.9,0.01257,0.00664,1.04128,3.4426,0.9859,0.000423631,0.000423631,0.000423631
30,40.8939,0.99712,1.12069,0.89622,0.01052,1,0.01392,0.00851,0.98029,3.36777,0.95458,0.000437166,0.000437166,0.000437166
31,42.2167,0.95935,1.07155,0.89179,0.01074,1,0.01376,0.0087,0.94799,3.31238,0.93276,0.00045059,0.00045059,0.00045059
32,43.5846,0.97573,1.0129,0.89382,0.01089,1,0.01391,0.00863,0.96535,3.27833,0.93151,0.000463904,0.000463904,0.000463904
33,44.9223,0.98644,1.00853,0.92124,0.01123,1,0.01382,0.00816,1.00007,3.28694,0.93537,0.000477109,0.000477109,0.000477109
34,46.2284,1.05682,1.05588,0.9127,0.01083,0.9,0.01259,0.00791,0.99185,3.35996,0.9347,0.000490203,0.000490203,0.000490203
35,47.5529,0.99867,0.99199,0.89628,0.01088,0.9,0.01258,0.00804,0.96893,3.4283,0.94893,0.000503187,0.000503187,0.000503187
36,48.9041,0.96621,1.04257,0.8946,0.01049,0.9,0.01206,0.00785,0.96912,3.40892,0.93901,0.000516062,0.000516062,0.000516062
37,50.2457,0.91891,0.98061,0.88758,0.01082,1,0.01345,0.00893,1.05514,3.26838,0.9601,0.000528826,0.000528826,0.000528826
38,51.5941,0.9413,0.86836,0.85329,0.01063,1,0.01308,0.00882,0.99623,3.16714,0.93395,0.00054148,0.00054148,0.00054148
39,52.9341,0.92253,0.8983,0.88663,0.01054,1,0.013,0.00873,1.08268,3.1655,0.98023,0.000554024,0.000554024,0.000554024
40,54.2849,0.93714,0.96408,0.89785,0.01035,1,0.01269,0.00794,1.15489,3.25543,1.00895,0.000566458,0.000566458,0.000566458
41,55.6202,1.19221,0.89061,0.91438,0.01027,1,0.0123,0.00822,1.0488,3.27239,0.95798,0.000578782,0.000578782,0.000578782
