epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.02928,3.99695,4.73101,1.43688,0,0,0,0,4.52017,4.69814,1.52668,8e-05,8e-05,8e-05
2,4.63866,4.09633,4.8014,1.49502,0.00725,0.45833,0.04778,0.00748,3.51524,3.40408,1.20874,0.000178218,0.000178218,0.000178218
3,6.27851,2.86413,2.80283,1.14326,0.60467,0.5,0.5306,0.12593,2.70496,1.75209,1.04165,0.000274456,0.000274456,0.000274456
4,7.92933,2.68451,1.91417,1.08019,0.72046,0.9667,0.92208,0.4174,1.95447,1.72739,0.89052,0.000368714,0.000368714,0.000368714
5,9.45974,2.47025,1.50907,0.98912,0.96878,0.83333,0.97638,0.45688,1.78908,2.05023,0.86806,0.000460992,0.000460992,0.000460992
6,11.0482,2.30521,1.34966,1.03639,1,0.94818,0.99192,0.49583,1.7067,1.7994,0.85148,0.00055129,0.00055129,0.00055129
7,12.616,1.85603,1.12919,0.89796,0.95154,1,0.9934,0.52324,1.63162,1.69193,0.82938,0.000639608,0.000639608,0.000639608
8,14.4566,1.93966,1.16217,0.88796,0.95154,1,0.9934,0.52324,1.63162,1.69193,0.82938,0.000725946,0.000725946,0.000725946
9,16.0769,1.94673,1.12112,0.88569,0.99736,1,0.995,0.48397,1.79458,1.86281,0.86948,0.000810304,0.000810304,0.000810304
10,17.5874,1.92855,1.31854,0.89046,0.99584,1,0.995,0.47547,1.83366,1.36652,0.85392,0.000892682,0.000892682,0.000892682
11,19.1079,1.71963,1.05017,0.84212,0.99584,1,0.995,0.47547,1.83366,1.36652,0.85392,0.00097308,0.00097308,0.00097308
12,20.6955,1.99615,1.23147,0.81935,0.99423,1,0.995,0.50034,1.79839,0.95967,0.83368,0.0010515,0.0010515,0.0010515
13,22.1567,1.81013,1.14342,0.81145,0.99423,1,0.995,0.50034,1.79839,0.95967,0.83368,0.00112794,0.00112794,0.00112794
14,23.6101,1.88617,1.18002,0.90166,0.99423,1,0.995,0.50034,1.79839,0.95967,0.83368,0.00120239,0.00120239,0.00120239
15,25.1886,1.83705,1.13378,0.88331,0.99735,1,0.995,0.49455,1.83703,0.82369,0.84238,0.00127487,0.00127487,0.00127487
16,26.7291,1.85957,1.03694,0.83557,0.99735,1,0.995,0.49455,1.83703,0.82369,0.84238,0.00134537,0.00134537,0.00134537
17,28.4967,1.89089,1.13532,0.89668,0.99735,1,0.995,0.49455,1.83703,0.82369,0.84238,0.00141389,0.00141389,0.00141389
18,30.029,1.93225,1.06437,0.8481,0.99674,1,0.995,0.48166,1.79339,0.83362,0.85078,0.00148043,0.00148043,0.00148043
19,31.5072,1.84284,1.08776,0.8641,0.99674,1,0.995,0.48166,1.79339,0.83362,0.85078,0.00154498,0.00154498,0.00154498
20,33.0758,1.9544,1.24242,0.86201,0.99674,1,0.995,0.48166,1.79339,0.83362,0.85078,0.00160756,0.00160756,0.00160756
21,34.7011,1.8119,1.0632,0.89169,0.99638,1,0.995,0.48182,1.89412,0.80792,0.86822,0.001604,0.001604,0.001604
22,36.223,1.7284,0.96778,0.8553,0.99638,1,0.995,0.48182,1.89412,0.80792,0.86822,0.0015842,0.0015842,0.0015842
23,37.7873,1.71652,0.9295,0.86266,0.99638,1,0.995,0.48182,1.89412,0.80792,0.86822,0.0015644,0.0015644,0.0015644
24,39.3507,1.72687,0.97531,0.88546,0.99247,1,0.995,0.51385,1.74047,0.69671,0.84548,0.0015446,0.0015446,0.0015446
25,40.8529,1.82158,1.14084,0.90095,0.99247,1,0.995,0.51385,1.74047,0.69671,0.84548,0.0015248,0.0015248,0.0015248
26,42.8586,1.80263,1.07229,0.83875,0.99247,1,0.995,0.51385,1.74047,0.69671,0.84548,0.001505,0.001505,0.001505
27,44.4149,1.78052,0.98636,0.82073,0.95896,0.97409,0.9934,0.48854,1.73538,0.70354,0.84435,0.0014852,0.0014852,0.0014852
28,45.9262,1.62701,1.05,0.87762,0.95896,0.97409,0.9934,0.48854,1.73538,0.70354,0.84435,0.0014654,0.0014654,0.0014654
29,47.462,1.74771,1.03014,0.86236,0.95896,0.97409,0.9934,0.48854,1.73538,0.70354,0.84435,0.0014456,0.0014456,0.0014456
30,48.9757,1.70293,0.97256,0.85225,0.99716,1,0.995,0.46188,1.78189,0.71347,0.86103,0.0014258,0.0014258,0.0014258
31,50.5602,1.48298,0.88985,0.85887,0.99716,1,0.995,0.46188,1.78189,0.71347,0.86103,0.001406,0.001406,0.001406
32,52.068,1.57692,0.95578,0.85202,0.99716,1,0.995,0.46188,1.78189,0.71347,0.86103,0.0013862,0.0013862,0.0013862
33,53.5889,1.63647,0.91166,0.83838,0.99716,1,0.995,0.46188,1.78189,0.71347,0.86103,0.0013664,0.0013664,0.0013664
34,55.2468,1.60415,0.93426,0.89904,0.99845,1,0.995,0.47611,1.76286,0.77379,0.84536,0.0013466,0.0013466,0.0013466
35,56.7391,1.61877,0.90627,0.87461,0.99845,1,0.995,0.47611,1.76286,0.77379,0.84536,0.0013268,0.0013268,0.0013268
36,58.2178,1.6012,0.95895,0.8685,0.99845,1,0.995,0.47611,1.76286,0.77379,0.84536,0.001307,0.001307,0.001307
37,60.1099,1.59383,0.91231,0.90185,0.99736,1,0.995,0.53123,1.60083,0.75452,0.81994,0.0012872,0.0012872,0.0012872
38,61.6841,1.41198,0.81959,0.83793,0.99736,1,0.995,0.53123,1.60083,0.75452,0.81994,0.0012674,0.0012674,0.0012674
39,63.2974,1.50182,0.89509,0.8509,0.99736,1,0.995,0.53123,1.60083,0.75452,0.81994,0.0012476,0.0012476,0.0012476
40,64.9506,1.59704,0.83499,0.82794,0.99659,1,0.995,0.53282,1.63524,0.74983,0.8299,0.0012278,0.0012278,0.0012278
41,66.4855,1.49012,0.84718,0.81903,0.99659,1,0.995,0.53282,1.63524,0.74983,0.8299,0.001208,0.001208,0.001208
42,68.1111,1.40043,0.80627,0.85921,0.99659,1,0.995,0.53282,1.63524,0.74983,0.8299,0.0011882,0.0011882,0.0011882
43,69.7247,1.48996,0.76584,0.84031,0.99678,1,0.995,0.53222,1.57054,0.70637,0.82395,0.0011684,0.0011684,0.0011684
44,71.2552,1.35717,0.77789,0.83136,0.99678,1,0.995,0.53222,1.57054,0.70637,0.82395,0.0011486,0.0011486,0.0011486
45,72.8487,1.48122,0.77525,0.83951,0.99678,1,0.995,0.53222,1.57054,0.70637,0.82395,0.0011288,0.0011288,0.0011288
46,74.7503,1.55255,0.82495,0.82734,0.99652,1,0.995,0.57555,1.49457,0.65349,0.82058,0.001109,0.001109,0.001109
47,76.262,1.44379,0.79265,0.81033,0.99652,1,0.995,0.57555,1.49457,0.65349,0.82058,0.0010892,0.0010892,0.0010892
48,77.8753,1.40347,0.80841,0.87377,0.99652,1,0.995,0.57555,1.49457,0.65349,0.82058,0.0010694,0.0010694,0.0010694
49,79.3528,1.48861,0.80757,0.79431,0.99652,1,0.995,0.57555,1.49457,0.65349,0.82058,0.0010496,0.0010496,0.0010496
50,80.9752,1.57841,0.8441,0.80668,0.99658,1,0.995,0.59923,1.45983,0.64474,0.82361,0.0010298,0.0010298,0.0010298
51,82.5752,1.54591,0.79169,0.82598,0.99658,1,0.995,0.59923,1.45983,0.64474,0.82361,0.00101,0.00101,0.00101
52,84.0792,1.45207,0.78318,0.81046,0.99658,1,0.995,0.59923,1.45983,0.64474,0.82361,0.0009902,0.0009902,0.0009902
